models,llc/arxiv,llc/cc,llc/dm_mathematics,llc/enron_emails,llc/freelaw,llc/github,llc/hackernews,llc/nih_exporter,llc/pubmed_abstracts,llc/pubmed_central,llc/stackexchange,llc/uspto_backgrounds,llc/wikipedia_en,llc_std/arxiv,llc_std/cc,llc_std/dm_mathematics,llc_std/enron_emails,llc_std/freelaw,llc_std/github,llc_std/hackernews,llc_std/nih_exporter,llc_std/pubmed_abstracts,llc_std/pubmed_central,llc_std/stackexchange,llc_std/uspto_backgrounds,llc_std/wikipedia_en,loss/arxiv,loss/cc,loss/dm_mathematics,loss/enron_emails,loss/freelaw,loss/github,loss/hackernews,loss/nih_exporter,loss/pubmed_abstracts,loss/pubmed_central,loss/stackexchange,loss/uspto_backgrounds,loss/wikipedia_en,trace/arxiv,trace/cc,trace/dm_mathematics,trace/enron_emails,trace/freelaw,trace/github,trace/hackernews,trace/nih_exporter,trace/pubmed_abstracts,trace/pubmed_central,trace/stackexchange,trace/uspto_backgrounds,trace/wikipedia_en,trace_std/arxiv,trace_std/cc,trace_std/dm_mathematics,trace_std/enron_emails,trace_std/freelaw,trace_std/github,trace_std/hackernews,trace_std/nih_exporter,trace_std/pubmed_abstracts,trace_std/pubmed_central,trace_std/stackexchange,trace_std/uspto_backgrounds,trace_std/wikipedia_en
pythia-70m_00000,22.127981185913086,20.258859634399414,9.869850158691406,19.29338836669922,18.63883399963379,18.3844051361084,14.481231689453125,21.008155822753906,21.440019607543945,21.866941452026367,18.37700843811035,19.21455192565918,19.64012908935547,0.31448158621788025,0.2975737750530243,1.2735596895217896,0.9910011291503906,0.3838479518890381,0.1784311980009079,1.357847809791565,0.7469757795333862,0.3066188395023346,0.20082183182239532,0.3093442916870117,0.3749263882637024,0.2852441072463989,11.073034286499023,11.068378448486328,11.156661987304688,11.066019058227539,11.069375991821289,11.120984077453613,11.115604400634766,11.048405647277832,11.052441596984863,11.07551383972168,11.113179206848145,11.046228408813477,11.078042984008789,13.591577529907227,195.76329040527344,310.68756103515625,741.6404418945312,126.09062957763672,-1030.8070068359375,685.4845581054688,659.1499633789062,364.67523193359375,-191.15890502929688,-475.7265625,323.8053894042969,-50.8405647277832,469.18804931640625,539.093994140625,1143.7967529296875,647.9223022460938,423.47747802734375,631.5296630859375,891.5725708007812,384.8012390136719,545.941650390625,449.1977844238281,401.8889465332031,550.6475830078125,595.900634765625
pythia-70m_00001,22.127981185913086,20.258859634399414,9.869850158691406,19.29338836669922,18.63883399963379,18.3844051361084,14.481231689453125,21.008155822753906,21.440019607543945,21.866941452026367,18.37700843811035,19.21455192565918,19.64012908935547,0.31448158621788025,0.2975737750530243,1.2735596895217896,0.9910011291503906,0.3838479518890381,0.1784311980009079,1.357847809791565,0.7469757795333862,0.3066188395023346,0.20082183182239532,0.3093442916870117,0.3749263882637024,0.2852441072463989,11.073034286499023,11.068378448486328,11.156661987304688,11.066019058227539,11.069375991821289,11.120984077453613,11.115604400634766,11.048405647277832,11.052441596984863,11.07551383972168,11.113179206848145,11.046228408813477,11.078042984008789,13.588086128234863,195.7535858154297,310.6866149902344,741.6412963867188,126.0867691040039,-1030.8182373046875,685.4810791015625,659.150390625,364.6752624511719,-191.15228271484375,-475.7287292480469,323.79669189453125,-50.846778869628906,469.189453125,539.0836181640625,1143.79541015625,647.9197387695312,423.4779968261719,631.5349731445312,891.5704956054688,384.8011474609375,545.9415893554688,449.2030334472656,401.88653564453125,550.6433715820312,595.8925170898438
pythia-70m_00002,22.138717651367188,20.276369094848633,9.886600494384766,19.31055450439453,18.657682418823242,18.398752212524414,14.502725601196289,21.020408630371094,21.452880859375,21.88020133972168,18.39412498474121,19.230838775634766,19.65715789794922,0.31451186537742615,0.2976232171058655,1.2734746932983398,0.99100261926651,0.38396936655044556,0.1784525066614151,1.357859492301941,0.7469408512115479,0.3066108524799347,0.2008122354745865,0.3093867897987366,0.37507468461990356,0.2852662205696106,11.072652816772461,11.067763328552246,11.15607738494873,11.065415382385254,11.068708419799805,11.1204833984375,11.114848136901855,11.04797077178955,11.051985740661621,11.075044631958008,11.112576484680176,11.045652389526367,11.07744026184082,18.551111221313477,204.6354217529297,318.2176208496094,750.2757568359375,135.15281677246094,-1024.20751953125,696.8570556640625,664.4291381835938,370.28594970703125,-185.61599731445312,-467.26904296875,331.2940368652344,-42.28339385986328,469.3819274902344,538.9837646484375,1144.1087646484375,647.7415771484375,423.8237609863281,631.5960083007812,891.4537353515625,384.82879638671875,545.8358154296875,449.37139892578125,402.1943664550781,550.5227661132812,596.1820068359375
pythia-70m_00004,22.34334373474121,20.60486602783203,10.187287330627441,19.625980377197266,19.0132999420166,18.667095184326172,14.904184341430664,21.245376586914062,21.682941436767578,22.127117156982422,18.71144676208496,19.530757904052734,19.980606079101562,0.31491348147392273,0.29817086458206177,1.273790955543518,0.9913515448570251,0.38470372557640076,0.17768920958042145,1.3586426973342896,0.7467710971832275,0.30725863575935364,0.2015971839427948,0.30985888838768005,0.37596839666366577,0.2855153977870941,11.065396308898926,11.056207656860352,11.145514488220215,11.054323196411133,11.056171417236328,11.111079216003418,11.100762367248535,11.03997802734375,11.043816566467285,11.066325187683105,11.10142993927002,11.0350341796875,11.066055297851562,109.03730773925781,381.8561706542969,450.1844177246094,907.9568481445312,317.24761962890625,-895.189453125,903.6384887695312,763.8501586914062,475.8542175292969,-85.53572845458984,-304.0865173339844,473.1936950683594,123.39881896972656,470.7080078125,540.7002563476562,1148.587890625,646.7133178710938,429.7359924316406,637.8825073242188,889.3060913085938,385.13018798828125,545.3876342773438,449.2585754394531,406.1183776855469,551.12353515625,595.2770385742188
pythia-70m_00008,25.0903263092041,24.955759048461914,14.131264686584473,23.743335723876953,23.6704158782959,22.21017074584961,20.20086669921875,24.21413230895996,24.728778839111328,25.415569305419922,22.921628952026367,23.465774536132812,24.249515533447266,0.3200118839740753,0.3055998980998993,1.2809827327728271,0.9974526166915894,0.39277201890945435,0.16859771311283112,1.3681728839874268,0.747688353061676,0.313970685005188,0.2092658430337906,0.31523972749710083,0.3867329955101013,0.2885605990886688,10.96864128112793,10.904013633728027,11.007695198059082,10.910346031188965,10.892931938171387,10.987540245056152,10.915977478027344,10.93521785736084,10.936446189880371,10.95091438293457,10.95435619354248,10.896608352661133,10.916677474975586,1343.1197509765625,2746.5888671875,2175.24462890625,2969.357177734375,2712.4833984375,852.11767578125,3658.553955078125,2087.33984375,1883.2576904296875,1290.353759765625,1885.6068115234375,2343.15771484375,2339.810546875,481.86700439453125,561.2001953125,1171.5341796875,638.1281127929688,502.04638671875,717.0264282226562,861.2219848632812,376.4772644042969,526.50146484375,451.5389099121094,472.6579284667969,550.3311767578125,582.73828125
pythia-70m_00016,33.703880310058594,38.17021942138672,26.442489624023438,36.28301239013672,37.866153717041016,33.425743103027344,36.25102233886719,33.47753143310547,34.25160217285156,35.73077392578125,35.94976043701172,35.5106086730957,37.33232879638672,0.341509073972702,0.3420183062553406,1.2998794317245483,1.017591953277588,0.4334658682346344,0.1435093730688095,1.4007885456085205,0.7456966638565063,0.3444868326187134,0.24233143031597137,0.3446066975593567,0.43182724714279175,0.30984777212142944,10.661476135253906,10.435773849487305,10.571955680847168,10.466157913208008,10.38862133026123,10.59228801727295,10.348861694335938,10.60376262664795,10.59609317779541,10.584436416625977,10.493885040283203,10.466673851013184,10.452986717224121,3960.978515625,7334.7939453125,5503.02587890625,6766.82177734375,7366.61572265625,4856.35546875,8730.6572265625,4675.87109375,4720.7509765625,4324.98974609375,6419.94482421875,5974.24462890625,6775.7236328125,455.6192321777344,542.6649169921875,939.7031860351562,509.2630920410156,561.7933959960938,688.4341430664062,668.0992431640625,271.35150146484375,394.7748107910156,417.21356201171875,568.7756958007812,452.91070556640625,460.1145935058594
pythia-70m_00032,47.09365463256836,56.787330627441406,43.121124267578125,52.56184768676758,57.73663330078125,48.11023712158203,56.103965759277344,49.48664855957031,50.223182678222656,52.156063079833984,52.855167388916016,54.13103485107422,56.01300811767578,0.4082992672920227,0.48651909828186035,1.3293201923370361,1.0499801635742188,0.6044198870658875,0.17581339180469513,1.4618918895721436,0.7271866798400879,0.4597826302051544,0.3484918177127838,0.45779362320899963,0.5842231512069702,0.42901918292045593,10.141925811767578,9.71653938293457,9.92233943939209,9.831785202026367,9.616018295288086,10.027558326721191,9.574504852294922,9.9846830368042,9.97819995880127,9.953756332397461,9.83953857421875,9.742804527282715,9.733248710632324,3131.55029296875,5301.63232421875,3266.318115234375,3852.58837890625,5068.54248046875,3122.94384765625,4940.9169921875,3953.39306640625,3966.878173828125,3951.173828125,4118.27685546875,4953.9580078125,5117.0126953125,406.90191650390625,194.6764678955078,277.4666748046875,236.45533752441406,266.8070983886719,235.98150634765625,180.83229064941406,285.3486022949219,131.95030212402344,396.7820739746094,251.7318878173828,205.97508239746094,227.16766357421875
pythia-70m_00064,67.22248840332031,75.24281311035156,66.61651611328125,70.75907897949219,76.23902893066406,69.02284240722656,73.02503967285156,68.87115478515625,69.13709259033203,73.51689147949219,72.99838256835938,74.8843994140625,72.88349914550781,0.4922025501728058,0.6182969808578491,1.5067579746246338,1.0715526342391968,0.7700002193450928,0.31978437304496765,1.5034987926483154,0.7279287576675415,0.5609755516052246,0.46219807863235474,0.5964415669441223,0.7097980380058289,0.5368633270263672,9.295511245727539,8.912343978881836,8.931130409240723,9.050264358520508,8.79912281036377,9.166717529296875,8.807242393493652,9.163179397583008,9.174567222595215,9.06591796875,8.983989715576172,8.856051445007324,8.997320175170898,3401.149658203125,3934.26025390625,3817.2109375,3565.390625,4107.38232421875,3013.059326171875,3851.043701171875,3294.53125,3256.72021484375,6053.42529296875,3400.521484375,4182.83154296875,3651.630126953125,268.59881591796875,64.1729736328125,263.86334228515625,218.55230712890625,181.26730346679688,238.51272583007812,82.02838134765625,145.7228546142578,44.0013542175293,401.5587463378906,157.0366668701172,73.58692169189453,54.74258804321289
pythia-70m_00128,111.74392700195312,103.41716766357422,129.00592041015625,98.49976348876953,103.84182739257812,111.54702758789062,103.6709213256836,96.816162109375,96.54199981689453,108.85017395019531,106.39913940429688,102.5093002319336,97.1578598022461,0.6492012739181519,0.8246934413909912,1.907381296157837,1.1981327533721924,1.0059913396835327,0.6021410226821899,1.5560572147369385,0.8226797580718994,0.7320866584777832,0.661710262298584,0.8338335752487183,0.9170830249786377,0.6744447946548462,7.144389629364014,7.325830459594727,5.989468097686768,7.527970314025879,7.222207069396973,7.1619415283203125,7.087876319885254,7.667137145996094,7.7016448974609375,7.283834934234619,7.21930456161499,7.308430194854736,7.625022888183594,9076.720703125,4923.287109375,13528.9716796875,4338.70947265625,5176.99560546875,6770.625,4999.69873046875,4710.89794921875,4718.9150390625,5956.7021484375,5964.7392578125,5104.09521484375,4842.84228515625,352.6458740234375,168.16165161132812,343.8921813964844,114.3945083618164,243.55262756347656,217.37124633789062,242.13055419921875,197.61273193359375,112.03677368164062,139.8502655029297,292.8698425292969,169.9228515625,152.61244201660156
pythia-70m_00256,137.53472900390625,110.99220275878906,155.2327423095703,107.68231964111328,114.2056655883789,132.57957458496094,111.1053466796875,109.9969711303711,110.68382263183594,127.32073211669922,119.6926498413086,110.61978149414062,107.30900573730469,0.6304876804351807,0.9461113214492798,2.0160810947418213,1.186314344406128,1.0033118724822998,0.5281464457511902,1.2643574476242065,0.7335196733474731,0.6958715319633484,0.6603246331214905,0.8313584923744202,0.9216196537017822,0.747920036315918,5.348727703094482,6.213404655456543,3.759774684906006,6.4148430824279785,6.011258125305176,5.578921318054199,5.9573869705200195,6.457714557647705,6.473211288452148,5.849825382232666,5.880568027496338,6.185238838195801,6.54041862487793,12732.6494140625,8891.0849609375,17242.771484375,8672.5146484375,11038.8466796875,13152.2138671875,8382.0888671875,10523.6064453125,10688.4677734375,11905.892578125,10115.7802734375,10019.095703125,9406.7412109375,226.32347106933594,384.4520263671875,477.01080322265625,187.92359924316406,185.70675659179688,393.13751220703125,483.553955078125,433.88812255859375,674.9027709960938,324.06793212890625,469.731201171875,402.21142578125,405.65972900390625
